Year,Nigeria Population
1950,37859748
1951,38424141
1952,39035444
1953,39686163
1954,40370852
1955,41086100
1956,41830614
1957,42605124
1958,43412097
1959,44255330
1960,45138458
1961,46063563
1962,47029822
1963,48032934
1964,49066760
1965,50127921
1966,51217973
1967,52342233
1968,53506196
1969,54717039
1970,55982144
1971,57296983
1972,58665808
1973,60114625
1974,61677177
1975,63374298
1976,65221378
1977,67203128
1978,69271917
1979,71361131
1980,73423633
1981,75440502
1982,77427546
1983,79414840
1984,81448755
1985,83562785
1986,85766399
1987,88048032
1988,90395271
1989,92788027
1990,95212450
1991,97667632
1992,100161710
1993,102700753
1994,105293700
1995,107948335
1996,110668794
1997,113457663
1998,116319759
1999,119260063
2000,122283850
2001,125394046
2002,128596076
2003,131900631
2004,135320422
2005,138865016
2006,142538308
2007,146339977
2008,150269623
2009,154324933
2010,158503197
2011,162805077
2012,167228794
2013,171765816
2014,176404934
2015,181137448
2016,185960241
2017,190873244
2018,195874683
2019,200963599
2020,206139589
